NÚMERO,ANALISADO?,SMELL?,QUAL SMELL?,Target: 74,Count: 74,,
4225,SIM,SIM,AT,,,,
4229,NÃO,NÃO,,,,,
4230,NÃO,NÃO,,,,,
4231,SIM,SIM,"ES, TK",,,,
4232,SIM,SIM,"UP, ET, ES, ",,,,
4233,SIM,SIM,"AT, TK, ",,,,
4239,SIM,SIM,"TK, ET, ES, CT, TT, AI",,,,
4243,SIM,SIM,"TK, ES, AI, UP, ",,,,
4246,SIM,SIM,"TK, ET, ES ",,,,
4255,SIM,SIM,"AI, TK, UW, ET",,,,
4257,NÃO,NÃO,,,,,
4260,NÃO,NÃO,,,,,
4268,SIM,SIM,"ET, UP, TK, ES, ",,,,
4270,SIM,SIM,"TK, ET, MV",,,,
4271,NÃO,NÃO,,,,,
4273,SIM,SIM,"ES, US, TK, MP, ",,,,
4293,NÃO,NÃO,,,,,
4295,SIM,SIM,"CT, UI",,,,
4321,NÃO,NÃO,,,,,
4322,NÃO,NÃO,,,,,
4329,SIM,SIM,"UP, ",,,,
4334,NÃO,NÃO,,,,,
4337,NÃO,NÃO,,,,,
4344,SIM,SIM,"CT, ET",,,,
4355,NÃO,NÃO,,,,,
4411,SIM,SIM,"TIPPING TEST, ES, UW, CT, ",LEMBRAR DE ADICIONAR NO CATALOGO ,,,
4426,SIM,SIM,"US, ET, ST, TK, UI",,,,
4442,NÃO,NÃO,,,,,
4448,NÃO,NÃO,,,,,
4460,NÃO,NÃO,,,,,
4466,NÃO,NÃO,,,,,
4490,SIM,SIM,"US, MR, ET, AMT",,,,
4491,SIM,SIM,"TK, ET, ",,,,
4501,SIM,SIM,"TK, ET, ",,,,
4525,NÃO,NÃO,,,,,
4526,NÃO,NÃO,,,,,
4545,NÃO,NÃO,,,,,
4569,SIM,SIM,"TT, TK, MV, CT, ",,,,
4586,NÃO,NÃO,,,,,
4587,NÃO,NÃO,,,,,
4588,NÃO,NÃO,,,,,
4597,NÃO,NÃO,,,,,
4598,NÃO,NÃO,,,,,
4599,NÃO,NÃO,,,,,
4600,NÃO,NÃO,,,,,
4601,NÃO,NÃO,,,,,
4602,SIM,SIM,"CT, UP, ET, MP",,,,
4607,NÃO,NÃO,,,,,
4610,NÃO,NÃO,,,,,
4611,NÃO,NÃO,,,,,
4612,NÃO,NÃO,,,,,
4624,NÃO,NÃO,,,,,
4626,NÃO,NÃO,,,,,
4628,NÃO,NÃO,,,,,
4632,NÃO,NÃO,,,,,
4664,NÃO,NÃO,,,,,
4668,NÃO,NÃO,,,,,
4670,NÃO,NÃO,,,,,
4304,SIM,SIM,"UP, CT, TK",,,,
